Number,Title,Source,URL,Date
56,Kennesaw State Engineering Professor to Showcase Research in Machine Learning,No Source,https://news.kennesaw.edu/stories/2021/research-with-relevance-electrical-engineering-technology.php,"April 13, 2021"
57,KSU students presenting in largest undergraduate research conference,No Source,https://news.kennesaw.edu/stories/2021/national-conference-undergraduate-research-2021.php,"April 12, 2021"
58,NIH awards $3.3 million grant to tropical disease researcher,No Source,https://news.kennesaw.edu/stories/2021/nih-grant-tropical-disease-research.php,"April 09, 2021"
59,KSU alum named a top screenwriter to watch in 2021,No Source,https://news.kennesaw.edu/stories/2021/ksu-alum-screenwriters-to-watch-2021.php,"April 08, 2021"
60,Show Your KSU Pride,No Source,https://news.kennesaw.edu/stories/2021/declaration-days-2021.php,"April 08, 2021"
61,Kennesaw State University hosts inaugural Hackathon for Social Good,No Source,https://news.kennesaw.edu/stories/2021/hackathon-for-social-good-2021.php,"April 07, 2021"
62,"WE-GROW Engineering Program Aims to Improve Retention, Academic Success",No Source,https://news.kennesaw.edu/stories/2021/we-grow-engineering-program.php,"April 07, 2021"
63,Written by Whitten | Recognizing Faculty Standouts,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/recognizing-faculty-standouts.php,"April 06, 2021"
64,Political science student honored by NAACP for campus leadership,No Source,https://news.kennesaw.edu/stories/2021/student-honored-naacp-campus-leadership.php,"April 06, 2021"
65,NSF grant to help Kennesaw State address need for computer science teachers,No Source,https://news.kennesaw.edu/stories/2021/nsf-grant-for-computer-science-teachers.php,"April 05, 2021"
66,Kennesaw State University earns seven affordability grants to lower costs for students,No Source,https://news.kennesaw.edu/stories/2021/affordable-learning-georgia-2021.php,"April 01, 2021"
67,Exercise science professor discusses high-intensity exercise for diabetes patients,No Source,https://news.kennesaw.edu/stories/2021/research-with-relevance-exercise-science.php,"March 31, 2021"
68,Written by Whitten | Creating Opportunities for Women in Engineering,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/creating-opportunities-for-women-in-engineering.php,"March 30, 2021"
69,'Unstoppable determination' lands accounting student job at top firm,No Source,https://news.kennesaw.edu/stories/2021/ksu-student-accounting-degree-career.php,"March 30, 2021"
70,KSU Wins Peach Belt Conference Esports Championship,No Source,https://news.kennesaw.edu/stories/2021/ksu-wins-peach-belt-esports-championship.php,"March 29, 2021"
71,KSU earns national award for Find Your Wings branding campaign,No Source,https://news.kennesaw.edu/stories/2021/ksu-find-your-wings-national-award.php,"March 29, 2021"
72,"School of Data Science and Analytics, Industry Partnership a Cornerstone to Innovative Solutions",No Source,https://news.kennesaw.edu/stories/2021/ksu-data-science-industry-partnership.php,"March 26, 2021"
73,Kennesaw State Geography and Geospatial Sciences programs honored for undergraduate innovation,No Source,https://news.kennesaw.edu/stories/2021/ksu-geography-award-for-excellence.php,"March 24, 2021"
74,Student ambassadors promoting campus health and safety,No Source,https://news.kennesaw.edu/stories/2021/ksu-student-ambassadors-campus-health.php,"March 24, 2021"
75,Written by Whitten | Stay the Course with Summer at KSU,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/stay-the-course-with-summer-at-ksu.php,"March 23, 2021"
76,KSU Lacrosse Duo Find Success in the Classroom and on the Field,No Source,https://news.kennesaw.edu/stories/2021/lacrosse-students-sisters-college-of-engineering.php,"March 23, 2021"
77,Kennesaw State Has Strong Showing in National Collegiate Sales Competition,No Source,https://news.kennesaw.edu/stories/2021/national-collegiate-sales-competition-2021.php,"March 22, 2021"
78,COVID-19 Documentation Project Now Available,No Source,https://archives.kennesaw.edu/blog/posts/covid-documentation-project.php,"March 19, 2021"
79,KSU professor captures snapshot of paparazzi life,No Source,https://news.kennesaw.edu/stories/2021/ksu-professor-freedom-of-the-press-paparazzi.php,"March 19, 2021"
80,KSU professor promotes resolving conflict with sustainable solutions,No Source,https://news.kennesaw.edu/stories/2021/thought-provoking-podcast-conflict-management.php,"March 18, 2021"
81,Spring Homecoming continues this week,No Source,https://news.kennesaw.edu/stories/2021/spring-2021-homecoming-events.php,"March 17, 2021"
